caseid;cirrosis;poblacion;cerveza;vino;licorDuro
1;41.2;44;33.2   ;5;30
2;31.7;43;33.8   ;4;41
3;39.4;48;40.6   ;3;38
4;57.5;52;39.2   ;7;48
5;74.8;71;45.5  ;11;53
6;59.8;44;37.5  ;9;65
7;54.3;57;44.2   ;6;73
8;47.9;34;31.9   ;3;32
9;77.2;70;45.6  ;12;56
10;56.6;54;45.9  ;7;57
11;80.9;70;43.7  ;14;43
12;34.3;65;32.1  ;12;33
13;53.1;36;36.9  ;10;48
14;55.4;47;38.9  ;10;69
15;57.8;63;47.6  ;14;54
16;62.8;35;33.0  ;9;47
17;67.3;50;38.9  ;7;68
18;56.7;55;35.7  ;18;47
19;37.6;33;31.2  ;6;27
20;129.9;81;53.8  ;31;79
21;70.3;63;42.5  ;13;59
22;104.2;78;53.3  ;20;97
23;83.6;63;47.0  ;19;95
24;66.0;65;44.9  ;10;81
25;52.3;45;35.6  ;4;26
26;86.9;78;50.5  ;16;76
27;66.6;60;42.3  ;9;37
28;40.1;52;43.8  ;6;46
29;55.7;37;33.2  ;6;40
30;58.1;55;36.0  ;21;76
31;74.3;69;47.6  ;15;70
32;98.1;84;50.0  ;17;66
33;40.7;54;43.8  ;7;63
34;66.7;61;45.0  ;13;59
35;48.0;47;42.2  ;8;55
36;122.5;57;53.0  ;28;149
37;92.1;87;51.6  ;23;77
38;76.0;50;31.9  ;22;43
39;97.5;85;56.1  ;23;74
40;33.8;27;31.5  ;7;56
41;90.5;84;50.0  ;16;63
42;29.7;37;32.4  ;2;41
43;28.0;33;36.1  ;6;59
44;51.6;44;35.3  ;3;32
45;55.7;63;39.3  ;8;40
46;55.5;58;43.8  ;13;57
