ticknumber;musica;dia1;dia2;dia3;cambio
2111;metal;2.65;1.35;1.61;-1.04
2229;pop;.97;1.41;.29;-.68
2338;sin estilo;.84; ; ; 
2384;pop;3.03; ; ; 
2401;sin estilo;.88;.08; ; 
2405;pop;.85; ; ; 
2467;indie;1.56; ; ; 
2478;indie;3.02; ; ; 
2490;pop;2.29; ; ; 
2504;sin estilo;1.11;.44;.55;-.56
2509;sin estilo;2.17; ; ; 
2510;pop;.82;.2;.47;-.35
2514;metal;1.41; ; ; 
2515;sin estilo;1.76;1.64;1.58;-.18
2520;sin estilo;1.38;.02; ; 
2521;pop;2.79; ; ; 
2529;pop;1.5; ; ; 
2533;metal;1.91;2.05; ; 
2535;metal;2.32; ; ; 
2538;sin estilo;2.05; ; ; 
2549;pop;2.17;.7;.76;-1.41
2551;sin estilo;2.05; ; ; 
2558;sin estilo;1.61; ; ; 
2562;sin estilo;1.66;.85; ; 
2565;indie;2.3; ; ; 
2566;sin estilo;2.76; ; ; 
2568;pop;1.44; ; ; 
2586;metal;1.06; ; ; 
2601;pop;3.23; ; ; 
2602;indie;.97;.38;.76;-.21
2604;pop;2.57;.11;.02;-2.55
2606;pop;.26; ; ; 
2609;pop;.47; ; ; 
2611;sin estilo;1.73; ; ; 
2612;sin estilo;1.94;.82;1.67;-.27
2616;pop;1.91; ; ; 
2624;sin estilo;2.08;.91;.96;-1.12
2633;pop;1.91; ; ; 
2642;sin estilo;1.42; ; ; 
2644;sin estilo;1.5; ; ; 
2662;metal;.11; ; ; 
2663;pop;1.67; ; ; 
2664;sin estilo;2.08; ; ; 
2669;sin estilo;2.05; ; ; 
2670;metal;2; ; ; 
2675;sin estilo;1.52; ; ; 
2676;metal;1.58; ; ; 
2677;indie;1.28;.38;.14;-1.14
2681;sin estilo;1.88; ; ; 
2685;sin estilo;1.32; ; ; 
2686;sin estilo;2.09; ; ; 
2687;metal;2; ; ; 
2688;indie;2.64; ; ; 
2689;sin estilo;.85;.32;.52;-.33
2692;indie;2.47;.23;.38;-2.09
2698;pop;1.79; ; ; 
2709;indie;1.64; ; ; 
2710;sin estilo;1.32; ; ; 
2712;metal;2.97; ; ; 
2726;metal;1.44;.14; ; 
2727;sin estilo;2.02; ; ; 
2728;metal;1.79; ; ; 
2730;sin estilo;1.34; ; ; 
2731;pop;2.29;1.9; ; 
2732;sin estilo;1.66; ; ; 
2734;sin estilo;.6; ; ; 
2735;sin estilo;1.76;.76;.29;-1.47
2736;sin estilo;1.5; ; ; 
2737;sin estilo;2.08;.7; ; 
2748;sin estilo;1;.55; ; 
2752;metal;1.73; ; ; 
2756;sin estilo;1.05;.38; ; 
2758;indie;2.81; ; ; 
2759;sin estilo;1.52; ; ; 
2768;sin estilo;1.47; ; ; 
2769;sin estilo;2.64; ; ; 
2770;metal;2.2;1.18; ; 
2771;sin estilo;.55;.79; ; 
2772;pop;2.29; ; ; 
2773;indie;2; ; ; 
2775;sin estilo;2.23; ; ; 
2779;sin estilo;2.45; ; ; 
2780;pop;1.2; ; ; 
2783;pop;2.91;2.08;2.11;-.8
2784;metal;1.14;1; ; 
2788;sin estilo;1.88; ; ; 
2789;pop;.94; ; ; 
2791;pop;1.85; ; ; 
2794;pop;2.58; ; ; 
2796;metal;.61; ; ; 
2799;sin estilo;.7; ; ; 
2806;metal;1.38; ; ; 
2807;sin estilo;1.94; ; ; 
2811;metal;2.29; ; ; 
2812;indie;1.59; ; ; 
2813;indie;2.46; ; ; 
2814;sin estilo;1.67;.14; ; 
2825;pop;2.02;.58;.5;-1.52
2827;metal;1.5; ; ; 
2828;pop;2.7;1.7;1.91;-.79
2829;pop;1.61; ; ; 
2830;metal;2.29; ; ; 
2831;sin estilo;.97;1.06;.76;-.21
2839;sin estilo;1.85; ; ; 
2842;metal;2.76; ; ; 
2857;metal;1.64; ; ; 
2858;sin estilo;1.17; ; ; 
2859;sin estilo;1.57; ; ; 
2862;pop;2.23; ; ; 
2863;sin estilo;2.05;1.58;2.15;.1
2875;metal;2.05; ; ; 
2876;metal;2.94; ; ; 
2883;indie;2.39; ; ; 
2890;sin estilo;1.94; ; ; 
2894;pop;2.12; ; ; 
2895;sin estilo;1.11; ; ; 
2897;sin estilo;.97; ; ; 
2898;indie;1.35; ; ; 
2899;sin estilo;2.81;2.08; ; 
2900;pop;2.5; ; ; 
2901;pop;1.87; ; ; 
2920;sin estilo;1.33; ; ; 
2921;indie;1.26; ; ; 
2922;sin estilo;1.44; ; ; 
2923;sin estilo;.55; ; ; 
2924;sin estilo;1.75; ; ; 
2925;metal;2.08; ; ; 
2932;metal;.85; ; ; 
2933;sin estilo;2.52; ; ; 
2935;pop;3; ; ; 
2936;sin estilo;1.41; ; ; 
2937;sin estilo;1.08; ; ; 
2938;sin estilo;1.2;1.38;1.5;.3
2940;pop;1.94;1.44; ; 
2941;sin estilo;2.26;1.73;1.73;-.53
2942;indie;1.41; ; ; 
2948;indie;2.5; ; ; 
2952;metal;2.17; ; ; 
2953;sin estilo;1.82;1.11; ; 
2954;pop;1.44;1.14; ; 
2956;pop;1.66; ; ; 
2957;metal;1.82; ; ; 
2958;metal;1.26; ; ; 
2959;pop;2.67; ; ; 
2961;sin estilo;1.47; ; ; 
2962;metal;1.84; ; ; 
2964;metal;2.58; ; ; 
2966;indie;1.73; ; ; 
2967;metal;1.23; ; ; 
2968;sin estilo;2.32; ; ; 
2972;metal;2.67; ; ; 
2974;metal;1.02; ; ; 
2975;sin estilo;1.66;2.12;2.7;1.04
2976;metal;1.88; ; ; 
2977;sin estilo;1.91; ; ; 
2978;indie;1.64; ; ; 
2979;sin estilo;1.34; ; ; 
2982;sin estilo;1.85; ; ; 
2983;indie;2.08; ; ; 
2984;sin estilo;1.02; ; ; 
2985;metal;1.79; ; ; 
2988;pop;1.94; ; ; 
2989;indie;3.26;1.97;1.67;-1.59
2990;sin estilo;1.14;.58;.11;-1.03
3008;sin estilo;1.5;.7;.38;-1.12
3009;indie;2.03; ; ; 
3010;pop;2.24; ; ; 
3013;sin estilo;1.11; ; ; 
3014;pop;2.21; ; ; 
3016;metal;1.94; ; ; 
3017;metal;2.41; ; ; 
3018;sin estilo;.88; ; ; 
3019;pop;1.17;1.35; ; 
3027;metal;2.23; ; ; 
3028;pop;1.64; ; ; 
3029;pop;2.14; ; ; 
